tech,bl,avg_cf_gesamt,avg_cf_gesamt_power_weighted,nettonennleistung_gesamt,anzahl_gesamt
solar,Baden-Württemberg,0.12732289915947814,0.1289226997901804,10653830.644996747,716504
solar,Bayern,0.12676968587163204,0.12866386006484823,23385600.817980863,1064954
solar,Berlin,0.1115889174888504,0.11311106448196585,309327.0380000235,36082
solar,Brandenburg,0.11266078396709987,0.11710063346104391,6623692.89300096,126797
solar,Bremen,0.11006550104657202,0.1115095796370166,114357.7319999985,9555
solar,Hamburg,0.10787514375416375,0.10851869344276072,147766.33699999994,17014
solar,Hessen,0.11816475358454756,0.1193479825254116,3844883.5880017756,287029
solar,Mecklenburg-Vorpommern,0.11413838393336555,0.11717457806528316,3925772.2580004465,65323
solar,MISSING,0.1246175,0.1263518257385043,34328.619999999995,34
solar,Niedersachsen,0.1111640117000967,0.11255190800128509,7534063.650003963,472304
solar,Nordrhein-Westfalen,0.11257777691474603,0.11387582758788324,10177508.917996636,782126
solar,Rheinland-Pfalz,0.12027885868905328,0.12215555640814757,4274211.322001327,252392
solar,Saarland,0.12199185423823287,0.12394214992145375,860547.7329999327,49781
solar,Sachsen,0.11737823916575872,0.12053032429481857,3983534.2570013385,152110
solar,Sachsen-Anhalt,0.1155538121912224,0.11881740734595236,4291771.292000651,94931
solar,Schleswig-Holstein,0.11084920644683724,0.1141643751078983,3264664.2900007144,142288
solar,Thüringen,0.11752042116452738,0.1188187278410953,2484495.918000074,86707
